ID,winner,wins_total_diff,losses_total_diff,age_diff,weight_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_def_total_diff,td_avg_diff
Sandhagen Figueiredo,,-7,1,-5,1,2.11,-0.09,-0.1,0.03,-0.43
RidderNickal,,12,2,5,-0.9,0.63,0.83,-0.06,1,3.28
PonzinibbioRodriguez,,13,3,0,1,-2.7,-0.86,-0.09,0.13,-0.03
JacksonMarcos,,-2,2,1,-1,-2.51,-2.83,0,-0.19,2.82
SmothermanSidey,,1,2,-1,0.5,1.38,0.12,-0.02,0.3,0
StephensJones,,17,17,9,0.5,-2.44,-1.89,-0.03,-0.15,-2
SantosTate,,-5,-1,-3,0,1.8,0.14,0.14,-0.12,-1.05
LoderBekoev,,-11,-2,4,0,-0.69,-4.09,0,1,-2.69
RodriguezRobertson,,2,-3,8,-0.5,1.75,0.09,-0.02,0.22,-2.4
BolanosLe,,0,2,-1,-0.5,0.72,-2.95,0.15,-0.57,-0.92
PetersenMayes,,-2,-5,-4,-3,0.96,0.22,0.17,0.42,2.03
MillerPetroviÄ‡,,-3,1,-3,0.5,1.31,2.48,0.05,-0.55,-0.69